Day,Difference (min)
1,34.50232435287903
2,763.3779242731575
3,38.78436329588015
4,2449.0027777777777
5,3180.4725378787875
6,13444.109259259258
7,846.8389513108615
8,314.62695652173915
9,129.18265963678968
10,7.146115819209039
11,12.766586474204757
12,598.9407196969697
13,29433.88972868217
14,61.428726287262876
15,5.940740740740741
16,6.1997252747252745
17,6.197303737145724
18,1.7422202001819835
19,7.1478787878787875
20,0.9247311827956989
21,2957.550819672131
22,1.4902548508543296
23,3.2279858156028367
24,9.510509554140127
25,981.8580503144653
26,9.491367654706188
27,0.12280701754385963
28,3589.0755952380955
29,1.9408697800840127
30,10.074656357388315
31,2789.833333333333
